 	liver	liver	liver	lung	lung	lung	spleen	spleen	spleen
JMJD7	5.3245	6.2454	5.9738	7.3538	5.6732	8.2623	4.4204	7.3352	6.3413
EMID1	3.7399	4.5865	3.8721	3.5777	4.0826	4.6944	6.7133	6.8533	5.8596
COL27A1	6.442	6.3292	6.6361	5.9337	4.1719	7.3185	3.5158	6.4789	4.7654
SLC16A7	5.7713	5.5547	5.1386	4.5391	3.5659	6.804	3.4811	3.1429	3.7128
KCNK2	6.8106	7.2183	7.2104	7.8162	6.6364	7.2556	3.7606	3.1428	5.17
TDRD3	6.5739	7.3694	7.45	7.0825	6.6576	7.998	3.1281	5.8809	5.0665
HOXD13	6.7358	7.2208	7.8577	7.1097	6.3032	7.955	4.3741	6.9551	5.6239
RIMS4	3.3211	5.9783	5.7143	6.3632	5.079	7.3674	3.9029	4.1885	4.1624
HSPC157	5.2369	4.0791	6.9163	6.9324	4.5082	7.1665	3.9162	5.119	3.5644
SF3B4	4.2932	5.2285	4.4418	5.6691	4.4811	6.8007	7.454	8.539	7.0258
RASSF7	5.7353	5.5329	5.872	5.5523	5.5349	7.0927	2.9177	3.4974	4.0926
HELZ	4.7203	6.3966	5.3106	6.2934	4.9532	7.0009	3.8526	6.0379	4.2866
CUL4B	8.4128	9.2248	9.7358	8.2246	7.6408	8.2841	6.1006	9.0924	6.9683
S100A7A	4.5553	4.777	5.6967	6.2172	3.5694	6.5099	4.159	4.704	3.1223
UFD1L	6.9626	7.5557	7.6282	5.9539	4.3694	7.6296	7.3054	6.6259	7.1941
FSD1	6.4747	6.5658	6.3478	5.963	5.2788	7.6354	3.6941	4.0517	4.5229
PANX2	6.7892	7.2876	7.7359	7.1648	5.1698	7.7855	5.7367	5.2456	4.9985
KIAA1377	6.3309	5.5835	6.2315	5.643	4.9807	6.5641	4.3346	4.5479	3.275
SLC4A3	6.5955	7.4203	6.6144	6.778	6.2975	7.4553	3.6506	6.6349	6.6825
RIMKLA	3.7538	5.4368	5.0086	4.8239	4.6382	5.9545	2.5543	5.8644	3.9346
CDC73	5.0784	5.9302	6.3125	5.1439	3.4929	6.1016	7.0365	4.8994	3.8072
SSX5	2.2931	5.1772	4.702	4.472	5.3171	5.793	4.3989	4.7273	3.3272
ZNF182	6.2058	6.5892	7.1625	6.0082	3.9328	7.9453	3.8069	6.7577	5.9184
LOC283731	6.3267	6.742	6.6798	7.373	7.63	7.4603	8.0847	10.5492	10.2573
TBX3	6.1279	6.7792	7.285	6.4484	6.0368	8.2425	4.1958	7.3057	5.4639
MIA2	6.6871	7.0717	7.1611	7.7331	6.2227	8.297	4.8548	6.8064	4.5707
CCDC63	5.9062	5.8538	6.6333	3.9329	5.0235	6.8103	3.7373	5.6029	4.6124
COPS8	5.6111	4.6016	6.9339	5.6124	4.3508	6.9059	3.6902	5.406	4.0416
IGSF6	4.7792	6.2835	5.0289	5.5007	3.3191	5.4147	3.4493	3.8442	5.8905
RABAC1	4.3861	4.8412	5.2152	4.7781	4.4539	6.2361	2.8267	2.8344	3.2328
SLC25A28	3.0292	4.3369	3.2247	5.1568	3.6078	5.0109	6.316	7.482	6.133
S100A13	3.8511	5.1359	2.9661	5.4035	3.5607	6.7746	3.1649	3.5449	4.1136
FLJ39534	7.8786	8.2998	8.4544	8.7031	7.3324	9.3462	5.2784	7.6863	7.0827
LOC440346	7.3974	6.3269	8.0042	7.5578	5.8661	8.4217	4.0252	7.1632	4.3206
C14orf109	6.9146	7.8341	7.5896	8.1252	7.5711	8.8482	4.9944	7.8529	7.7785
C20orf197	6.8826	7.3701	7.9011	7.2993	6.5584	7.905	4.7055	6.0858	4.3085
C9orf31	6.3824	5.8351	5.7379	5.283	3.5516	6.2819	3.4795	5.2029	3.8244
PCGF3	6.7199	6.2102	6.4905	7.8968	7.0612	7.8227	7.1075	3.0848	5.8033
LOC100288860	3.5117	5.5914	5.9899	6.4303	4.2779	8.1201	3.1588	5.0505	5.6236
CLK4	5.6462	6.2096	5.5834	7.024	6.8569	8.0448	2.7961	6.8829	3.6286
LOC100288809	8.5937	8.8389	9.5619	7.3393	5.9612	8.2216	8.663	7.3438	6.9376
CAV1	4.6563	5.1643	5.9587	4.7124	3.0806	5.1624	2.8061	2.8717	2.7282
ATF7IP	7.083	6.3868	7.815	7.2736	6.1131	7.9703	4.5133	5.0893	3.3011
SP8	9.0718	9.866	9.7306	9.7615	9.2166	10.2095	6.4241	8.7611	8.0741
LSM10	7.2584	7.3266	7.6662	7.0892	6.5634	8.0966	4.304	8.0142	6.2537
TRIT1	4.9225	5.8161	5.8668	5.481	3.5944	7.5621	4.5973	5.7437	4.3028
PINX1	4.2198	4.2963	4.6412	4.6667	3.4169	5.1234	7.7606	6.4817	5.9508
METTL5	4.41	5.2136	5.0592	4.4195	3.0397	6.2251	2.7904	4.3604	3.6692
SHISA8	7.4968	7.7054	8.3459	8.9179	8.4717	9.5059	4.8538	7.9397	7.4698
TAOK1	8.2858	8.3349	8.5538	7.2946	7.0482	8.0328	4.7826	7.3877	7.3772
ZNF141	7.6164	8.0246	8.2373	7.2536	6.3447	8.0723	3.6696	5.1914	4.8266
MARCH8	3.7409	2.854	2.835	2.938	2.2909	5.4496	2.9883	2.4457	5.5684
STC1	6.9307	7.1846	7.6425	7.5329	6.0605	8.3508	5.0156	7.4516	5.6799
MYL10	5.1859	6.0628	6.6725	5.5096	4.9769	6.4741	3.5977	4.6695	3.3824
ZNF185	5.1709	6.6359	5.6981	4.658	3.6507	6.8311	3.9596	4.9203	4.8271
LOC387723	6.6529	7.6054	7.1805	7.4388	6.9892	8.7501	4.4162	7.2323	4.8432
LOC100131642	5.9504	7.3333	7.4748	8.0565	6.2027	9.0601	6.2379	6.7461	5.7001
SEC24D	5.5156	7.4422	6.3154	6.3009	5.0206	7.533	4.5934	5.0186	3.7148
DCAF8	5.5803	4.691	6.3597	5.4801	5.4397	7.1748	3.079	3.3418	2.6792
LOC100289538	4.9311	5.8315	5.621	5.6063	4.7092	7.2629	3.8195	5.5297	3.7562
TMCC3	3.9524	3.4475	3.5778	3.4331	3.9997	3.8422	5.493	6.6786	3.7611
MBD1	4.7688	5.609	3.7391	5.4527	3.4485	7.2023	3.7132	5.4155	5.944
SNRPA1	5.7983	5.5944	6.876	5.0298	3.4485	6.8963	4.4518	6.4285	4.0502
PTHLH	5.8381	5.2837	5.4376	5.1078	6.4868	5.1606	7.7075	7.6424	7.3922
MGC24103	9.235	9.6869	9.5285	9.451	9.0798	9.5284	5.7365	8.6387	6.0105
DNAJC10	6.703	6.4237	6.2574	6.6956	5.6177	7.5373	3.5139	4.9585	4.4355
OTX2OS1	8.1882	8.7892	8.3995	8.496	7.8731	9.6177	5.5718	7.4553	7.2741
C10orf93	7.152	7.5097	8.1844	7.4974	6.5305	8.0313	4.7399	5.8061	4.6358
NDRG2	5.2342	5.2313	5.1509	4.3359	3.2875	6.012	4.1431	3.5408	2.7481
OR4D2	9.3641	10.0325	10.4206	8.7493	7.4614	9.3649	7.154	9.7892	7.2196
PRR10	6.8936	8.1492	7.7068	8.0157	7.6329	8.8365	4.8374	8.222	6.0971
TFAP2E	7.1684	6.8369	8.2188	6.8089	4.9629	7.4585	3.9692	6.7366	3.0678
ZDHHC12	6.0308	6.7095	6.6574	5.9854	4.0432	6.6606	4.765	3.3164	4.3863
RIMS2	6.8107	6.7534	6.8068	6.1398	3.2113	7.1834	4.6262	8.5485	6.8572
MEP1A	4.0931	7.2637	7.4494	5.7569	4.9493	5.9446	10.0202	9.5747	9.3959
TRIM59	7.2167	7.7072	8.6699	7.0273	5.6539	8.2236	3.7027	6.837	4.9774
MED30	7.0633	6.377	7.1984	6.0931	4.8971	7.2604	2.8716	4.5064	3.9341
ADIPOQ	5.0473	5.6123	6.1038	5.6619	4.2978	6.3714	2.6701	4.5526	4.1433
C3orf34	5.4847	7.1397	6.614	7.5299	5.6252	8.3541	5.439	5.7075	3.8601
ST6GALNAC1	6.003	6.3253	6.5353	6.5527	5.0614	7.5999	3.7523	6.254	4.175
LOC100134713	6.3744	6.191	6.3671	7.1107	4.0037	7.5043	2.3621	5.1912	3.9077
SNRNP27	4.5901	4.54	5.1316	5.7952	4.9025	6.6373	7.8212	9.3928	6.8076
CSDE1	6.7048	6.5111	7.7991	7.0136	6.0899	8.2083	4.4147	6.1276	5.623
LOC93444	6.1503	7.5234	7.8412	7.366	6.445	7.3146	4.0942	6.8545	6.5057
NEK8	5.5686	6.1578	6.3198	7.0654	6.3994	8.4369	4.4118	6.1518	6.2706
ANKDD1A	6.4497	6.5731	6.5899	4.9597	3.1612	6.8784	3.3286	5.208	4.1311
MYOC	6.5876	8.4734	8.064	7.5668	6.7198	8.4419	3.7992	7.6754	4.9393
GRHL3	7.8964	8.7311	8.629	9.2387	8.6581	9.3708	5.7981	8.9369	7.273
ARPC5	7.3256	6.3998	7.7244	6.3733	4.9858	7.3264	4.9943	5.7175	4.6689
LOC100287552	3.2767	3.7433	7.0591	6.4681	4.2333	6.5604	3.1212	3.033	3.5383
CNDP2	2.7875	4.1039	4.9402	6.0351	5.7627	6.8035	2.7579	3.4171	4.3018
C4orf27	5.0473	7.107	6.401	8.1737	6.8362	7.1522	6.7024	5.6642	4.6926
CREB1	6.3181	7.3791	7.5371	6.5306	6.4381	7.6065	10.369	10.2847	9.6865
CASP2	9.0955	9.0577	9.4432	7.7896	6.7756	8.8506	5.0117	8.7544	6.7196
CLIC2	4.2325	6.8037	5.4617	5.6296	4.0881	7.0927	4.4702	4.3991	3.8262
ARAF	2.6369	5.0979	3.5074	4.6558	4.2373	6.6732	4.437	4.5029	4.7528
NISCH	4.7227	6.0794	5.4725	5.6447	4.695	7.5952	3.8596	4.6208	3.4069
EXOSC9	3.4228	4.037	4.3022	4.713	3.6629	6.7147	3.5446	3.6892	3.1539
LOC642620	2.7875	5.0987	5.1836	3.5591	5.8621	6.7535	2.9863	4.3465	4.68
PIGY	5.7035	5.9809	6.3256	4.7039	4.0381	5.5312	4.5315	7.9092	5.3402
LOC100290973	5.592	6.6987	7.1105	6.2224	6.1855	7.3215	4.8989	5.3915	4.0063
LOC441383	6.1012	5.8709	6.584	5.8332	6.0738	7.1983	3.8926	3.7818	3.5437
KLF13	4.5073	4.9521	4.637	5.7506	3.2187	6.8638	5.1452	6.7867	4.7604
C4orf46	6.4316	6.8605	6.4417	7.1197	5.4951	8.0719	4.1594	7.2563	4.6711
LOC100287676	8.0653	8.5442	8.2109	8.6754	8.6952	8.9206	5.3948	8.2374	6.3946
SPATS1	4.4161	4.4545	5.5274	6.1051	3.6508	7.2989	6.2701	6.181	5.6184
SYNCRIP	2.8204	5.1445	4.9411	5.0249	5.0483	6.5217	3.1468	4.162	5.1766
EMID1	4.542	4.9956	6.815	6.2478	4.2591	7.6069	4.7353	5.6886	4.9534
CRYBB2	6.5274	6.5383	6.5999	5.4847	5.4847	7.4157	7.4567	7.8668	9.0726
M6PR	8.2792	8.5166	10.1238	8.8086	8.0215	9.4123	5.9838	5.557	5.6072
NOP56	5.5767	6.4476	6.215	9.6495	8.6319	9.1602	7.3654	8.4216	7.8958
IQCE	6.2272	7.5309	7.3417	9.9235	9.5854	9.6184	6.0049	6.9014	6.6981
CREG1	6.9681	6.663	7.0223	8.6382	8.014	8.5601	6.078	5.8121	5.6599
UBTD1	6.9071	7.1716	8.226	5.6672	5.7214	5.2818	4.8141	5.0827	5.4477
C10orf4	6.9279	8.0054	7.645	8.3311	7.8837	8.932	5.5896	4.6327	4.7285
C1orf151	7.3777	7.7973	9.2752	9.5685	8.9663	8.9538	5.7947	5.1581	5.1221
CALM1	6.8015	8.3772	7.4543	8.7773	7.7363	9.1128	10.8506	8.0764	9.8485
CDC40	5.5816	6.6927	10.2565	8.312	7.6197	9.2754	5.83	5.4765	5.6865
NCAPG	7.0108	7.1481	8.5207	7.2382	6.2785	7.8921	6.7416	4.9672	5.6451
MASP2	8.2699	8.2299	8.3587	8.3552	8.2574	8.4861	5.3347	6.4911	6.3408
ASB7	6.919	7.0551	8.6642	7.1464	6.1855	7.9077	6.6277	4.8754	5.605
TRPM6	9.364	9.332	9.3002	8.6038	8.2315	9.0844	5.6696	7.5295	7.0877
PROX2	9.7954	10.0782	10.4592	9.8734	9.7596	10.5025	5.8291	7.0354	6.6229
PTGER4	4.2113	4.9585	6.0469	8.6325	7.8625	9.5246	4.056	4.112	4.2466
B3GAT1	7	7.2607	8.4518	9.736	9.7157	10.6439	7.3028	6.5373	6.8235
SSB	12.1439	11.4598	11.7678	10.045	9.1501	10.5008	6.6199	7.4511	7.3381
TSPAN9	9.252	9.6233	9.4667	9.714	9.3591	10.135	6.3403	8.3756	7.6085
ZFP2	10.0315	10.7188	10.5894	10.9934	10.8089	10.5749	7.2177	8.34	7.9159
SRI	9.4809	9.9111	9.8321	10.7777	10.2413	10.8397	7.6705	8.3313	9.1432
RRP1	8.4843	8.7543	9.0258	8.5913	7.7892	8.2669	10.6517	11.2074	10.6054
LOC283501	6.7816	7.5307	7.9103	6.5983	6.5608	7.2236	10.7802	10.7673	10.0359
CFL2	9.1031	9.2363	9.1497	9.5723	9.338	9.8315	6.6031	6.3622	6.5528
HVCN1	6.9138	7.0444	6.9152	9.5542	6.7977	10.075	10.2941	6.8014	7.8239
C8orf76	7.7721	7.615	9.267	9.7579	9.6058	10.6071	6.5557	5.6013	6.6593
ANAPC13	5.502	6.8974	6.3515	8.8918	8.0712	8.9886	4.8551	4.5607	4.8336
TTTY4	6.0634	5.7316	5.5145	5.5194	6.2022	5.569	8.5758	8.4007	7.8785
FBLN5	8.2378	8.9256	8.8109	9.8712	9.4629	9.4437	11.1114	11.0508	11.2478
FAM55C	7.8224	8.9635	8.7548	10.3232	9.6104	10.4688	6.4111	6.163	5.8435
GABRQ	7.9664	8.4901	8.5546	8.3527	7.8671	10.2603	5.0906	5.1708	6.0348
LMF1	7.4833	8.6817	7.9748	9.7437	9.2448	9.8156	4.5776	4.7349	4.6741
NT5DC1	8.6832	8.5348	8.7382	8.2061	8.0605	8.2933	10.9446	10.6985	9.8192
ALAS1	3.9629	4.3839	4.2693	5.321	3.6132	6.8509	7.7327	5.1583	5.4621
SNAI3	6.6274	8.5044	7.8034	6.7713	6.5911	6.1368	10.0557	10.1117	10.3968
LRRC68	5.1952	4.9601	4.9826	5.3976	4.944	6.6269	8.0038	4.2825	5.5973
SPHK1	8.8898	9.3106	9.1866	9.2838	8.7324	9.7761	5.9714	8.431	7.6229
GLUD1	8.7627	9.0755	8.9679	8.1744	7.6002	9.0666	5.7441	6.876	5.4304
KLHDC4	6.108	6.7564	6.7564	8.4935	8.2326	8.889	6.1063	5.8625	6.2315
ATAD2B	9.799	8.8047	9.7781	8.3556	7.4687	9.3849	4.4416	6.0313	5.3064
CFC1B	7.9917	7.8975	10.9072	6.6217	6.2108	7.5487	9.6132	10.4088	10.3052
OR7E24	8.7167	9.06	9.5924	9.9258	9.3558	10.4167	6.5176	8.4071	7.6639
FZD6	7.698	8.1483	8.3275	8.4284	8.042	9.4634	5.1198	6.1951	6.6587
TLK1	11.3666	11.6871	12.008	11.8559	11.4988	12.2298	7.6419	10.8059	10.2907
C2orf54	4.3492	5.4068	4.9196	6.7563	5.0535	8.1876	3.9945	4.4304	4.4404
ZNF131	8.444	8.2768	8.3876	9.3166	8.7977	10.4306	5.7821	6.9785	6.7552
LOC643923	10.7167	11.3839	11.9039	11.253	10.8509	11.1709	6.4965	6.2248	6.2169
PMP22	6.2526	7.4335	6.8921	8.3942	7.746	8.6406	5.6218	4.8353	5.3132
ZNF486	5.3274	4.9493	4.9939	5.6872	5.6872	5.0356	9.5427	10.082	10.5619
FAM132B	10.219	10.6043	10.5474	10.6309	10.5425	10.253	7.4718	8.7043	8.4878
INPP5E	8.3514	8.6003	9.3066	8.5156	8.2608	9.215	6.8054	6.2308	6.261
LIMD1	9.2872	9.0114	9.3093	8.5227	7.8031	9.247	5.3553	7.7914	6.8612
RFX2	7.9665	8.7575	8.4963	9.4995	8.8982	9.8764	6.1342	6.7839	6.8613
SIRT3	11.5563	11.995	12.068	12.1893	11.677	12.7332	8.704	8.123	7.3311
C18orf25	7.4526	7.2455	8.9168	8.1953	7.8378	9.8836	4.2595	3.5175	3.5012
CGNL1	11.8685	11.9746	12.0734	12.0276	11.8623	12.4941	8.3433	11.0142	10.627
GPR78	10.9766	11.4063	11.4759	9.0136	7.7521	9.0051	9.4197	11.0293	11.288
ATP12A	6.6525	8.2936	7.8792	9.3026	8.6827	9.2712	4.5795	4.4324	4.6203
LOC286052	8.3543	9.2747	8.7541	9.6777	9.4245	9.2418	7.0198	6.9948	6.9914
GAP43	6.3667	6.4262	7.109	5.1706	5.525	5.5139	8.0944	8.374	8.732
CEP192	8.1017	8.4466	8.8318	8.5074	7.892	8.7039	5.672	7.1482	6.5917
CRYGS	9.8148	9.9843	10.0108	9.4267	9.0884	9.7399	6.7038	8.78	7.4393
TMEM161A	9.9545	10.1105	10.1991	9.7161	9.4074	9.9466	6.6011	9.6193	7.7959
PCBP1	6.1569	6.9205	7.7489	8.3233	7.9776	9.6988	6.4312	7.838	7.5089
LOC100125871	6.6826	6.9903	6.9917	7.7329	7.4906	7.272	5.2835	4.7121	5.5937
TMEM9	9.7867	9.779	9.9756	9.8664	9.6946	10.2044	6.8249	9.7769	8.2331
C1RL	8.9588	8.9905	8.857	9.1112	8.7298	8.383	6.9786	6.5625	6.7106
RAB11FIP3	5.6127	6.4374	6.5684	7.7272	7.3828	8.8269	5.7221	5.6243	5.8545
PSORS1C2	5.3599	6.312	6.1106	7.9956	6.3388	8.7776	9.0025	6.0307	7.5676
LTC4S	9.5886	9.8972	9.4115	10.1862	9.9944	9.9782	5.4749	5.1148	5.151
CIC	6.5521	6.8524	7.6334	6.8704	6.1171	8.4218	4.7805	5.1615	5.4219
MPP2	4.8263	4.9082	4.4713	5.622	6.1019	7.6781	4.5293	3.8837	4.3712
FAR1	11.2829	10.9327	11.7129	9.8888	8.9436	10.508	5.285	7.8982	6.9635
C8orf81	10.5782	10.2624	10.7094	9.2009	8.0776	9.9631	5.8031	6.5252	6.9473
CT47A1	9.9166	10.0113	10.4737	9.386	8.7092	10.1647	4.9168	4.8159	5.7411
THRSP	9.753	9.0368	8.737	6.9256	6.6802	7.7093	4.2624	4.5468	3.5773
BEX1	8.8154	9.5916	9.2425	9.7683	9.4394	10.0494	6.3982	7.1972	6.8272
DKKL1	7.7191	8.6926	9.1861	9.786	9.3328	9.2325	5.9392	6.1192	5.6992
ASTE1	9.5687	9.7143	10.0112	10.7744	10.1963	11.3018	7.5997	8.6288	8.6106
KIF16B	4.8596	5.4765	7.0437	7.785	7.5838	8.9993	4.937	4.9921	4.68
ADAM28	7.7633	8.873	8.7946	9.4095	8.9676	9.5949	5.015	6.1541	5.4638
TIMP2	9.1299	8.9752	9.3778	7.8068	7.6196	8.7014	10.4679	11.4146	10.8887
COL1A1	7.6023	8.7962	8.5759	9.5692	9.272	9.5381	5.6128	7.0455	7.2699
C15orf28	8.7102	9.3068	9.6709	9.7777	9.493	9.5717	6.8443	7.6832	7.1859
FETUB	7.8729	8.5262	8.3663	8.288	7.8481	8.8571	5.4589	7.2637	5.9775
LALBA	6.0629	7.1363	6.3064	6.3112	5.9481	7.0527	10.1254	7.4647	9.1561
C19orf41	5.605	7.4059	8.1288	9.8382	9.2396	9.5752	6.1773	4.4624	4.5862
ZNF34	11.7667	11.3932	12.3911	10.5666	10.0494	11.0845	6.0414	7.787	7.2376
GABPA	11.7748	11.4342	12.0236	10.5942	10.1717	11.0612	6.4998	8.2542	7.618
FAM76B	10.5024	10.6387	10.7752	10.0596	9.8687	10.5251	6.9409	6.7108	7.7757
AUTS2	9.5944	9.9087	10.0121	9.9808	9.7552	9.7465	12.3804	12.094	11.7738
FAM85A	10.3948	10.256	9.6072	8.8148	8.6892	8.5323	6.3961	5.8851	6.1844
ARHGEF7	8.7935	9.2159	8.5533	9.8263	9.57	9.6348	6.0105	6.7743	6.1184
LOC150759	6.2075	6.2193	6.7701	6.0156	6.5069	6.0431	8.3982	8.668	8.1223
REG3G	9.081	9.5509	9.451	10.7299	10.1711	10.5118	7.5555	6.5868	7.3202
NEUROG1	8.3973	7.4657	8.8441	8.0199	6.832	8.7084	5.1689	6.6867	5.2455
C14orf105	8.1769	8.5771	9.6758	7.3309	7.0669	6.3461	5.9626	6.0814	6.2009
C10orf110	10.6317	10.6599	11.0366	10.2596	9.6272	10.8115	7.4591	9.6139	9.0892
RP9	9.0583	9.0788	9.4512	9.2354	8.9382	9.7508	6.022	8.2756	7.825
TMEM160	9.9914	10.0791	11.384	6.308	5.9945	5.9791	6.1519	6.0434	6.2347
LOC440149	5.2861	5.1237	5.4539	6.9622	7.0799	8.2162	5.6155	5.1491	5.0303
C1orf69	6.3778	6.324	7.4393	4.4911	4.9038	4.0199	5.5508	5.1818	5.1076
SLC25A32	8.4355	8.723	9.6054	7.3943	7.0841	7.4063	6.4942	6.5444	6.3343
GBP5	6.082	6.2342	7.4483	4.0521	4.3659	4.2756	4.634	4.4874	4.4643
FAM38A	7.7309	8.3765	8.5753	8.7657	8.1801	9.0491	5.5298	6.6055	5.7254
RAB25	5.731	5.625	5.7565	5.6113	5.8239	5.3754	7.0234	8.0865	8.051
ACSM2A	7.7886	7.7241	8.2508	5.1396	5.4136	4.8749	5.8209	5.6179	5.4601
ARMC3	8.3505	9.0549	8.9397	9.9153	9.4368	9.7378	5.6094	5.8669	5.2466
P2RY4	5.9185	6.0864	5.984	6.9117	6.2912	8.713	4.9708	6.322	5.1461
MS4A6E	8.4112	8.3986	9.972	5.3426	6.0281	5.2705	6.0798	5.6137	5.6242
LOC340094	6.5717	6.9002	7.3132	7.5975	7.415	7.0236	10.7778	9.6232	9.3507
PRPSAP2	7.8497	7.5024	7.4412	7.5214	7.9849	7.0727	10.6994	9.9302	10.0226
PMS2L2	7.2865	8.1397	7.6014	8.6541	8.6541	8.0838	10.6997	10.8975	10.5875
RPP25	7.846	7.5428	7.6876	6.1597	6.39	5.8618	9.3521	10.3889	9.5654
FAM134A	9.2019	9.2894	10.9852	6.0499	6.5409	5.6719	6.6251	6.4404	6.4237
PHLDB1	9.1812	9.7573	10.308	9.4024	9.1586	9.2506	5.7893	5.4561	5.3816
LRRC17	5.4093	5.0642	5.3058	5.3155	5.5562	5.1643	8.2651	10.2046	8.891
HSPB8	13.235	13.1738	13.3036	12.8302	12.4954	12.9782	11.0685	10.1047	10.6819
ATXN7L3	10.4968	10.9645	11.0807	9.9582	8.9255	9.5059	6.5634	6.443	6.7887
RPL36A	8.8369	8.626	9.0916	8.927	8.6916	9.6966	6.3939	6.8231	6.5642
GBA3	8.617	7.966	9.7822	5.4747	5.8633	4.8971	5.5883	5.8034	4.9886
MTPN	9.3465	9.712	9.8253	9.4049	8.4723	9.05	11.8054	12.1294	11.7825
PTPRU	8.6996	9.1252	9.1284	9.2762	8.6636	9.6672	6.1497	8.6323	7.3576
C1orf116	7.4972	8.8925	8.297	9.4124	9.4689	9.5437	6.7527	6.8568	6.9748
C6orf165	8.4883	8.9627	9.0237	9.3878	8.8224	9.9181	5.8825	8.3334	8.1432
LOC729887	9.1641	9.7138	9.0889	9.5454	9.059	9.7125	5.083	6.5756	6.2952
LOC100233209	6.9609	6.4365	9.6501	7.6624	6.8895	8.9925	10.7006	11.0114	7.4962
TF	6.8729	6.4552	9.6845	7.6043	6.9166	9.0094	10.6758	10.977	7.4613
SDC4	8.4048	8.7183	8.1554	9.1894	9.0064	8.7279	6.3601	6.1273	6.3516
PSMB2	12.4988	12.0986	12.6954	10.6785	10.4491	11.2795	9.6408	11.1999	9.995
ASAP3	12.2526	11.8275	12.4214	10.4277	10.1287	11.0096	9.382	10.9258	9.7342
BIRC6	5.8972	5.4461	6.2714	7.4345	7.7073	9.6154	5.1366	5.2902	5.6409
C12orf69	5.3536	5.701	6.6876	8.4959	7.9434	9.9371	5.8287	5.6677	5.7748
SCT	7.792	8.2024	9.3244	5.3913	5.736	5.1836	5.86	5.8865	5.597
TXNRD3	6.7357	8.2026	7.8806	8.8184	7.9647	10.1777	12.3825	9.5495	10.845
PDK4	6.7635	8.2169	8.0112	8.4506	7.7008	9.0647	10.6045	9.1163	9.8803
C8A	7.4882	7.6397	8.6684	7.874	7.4935	7.5749	11.2671	12.3546	12.125
PRDM11	4.8939	6.0229	5.5236	5.076	4.4311	5.006	8.5606	6.4891	8.0399
C20orf108	8.4901	10.4068	10.084	12.2502	12.1785	11.7983	6.28	5.9819	5.7469
C2orf3	8.4413	9.5052	9.0132	9.5852	9.125	9.2898	5.3233	5.2767	5.601
NOTCH1	7.1721	7.8654	7.8629	9.3929	9.1261	9.5314	7.3252	6.3242	6.8232
FUCA1	6.6405	7.838	6.8997	9.4776	8.1437	10.4776	11.4481	7.8844	9.1992
OAT	6.8511	6.7622	6.626	7.1367	6.915	6.8353	9.9814	10.6028	10.0459
RABGGTB	8.227	9.1083	8.9052	9.4275	9.3937	9.3681	6.824	6.1316	6.2204
MEX3C	6.9576	6.4839	6.9576	6.1877	6.5409	5.9124	10.2423	9.3009	9.4688
PTPN23	8.3919	8.7915	8.5396	8.9957	8.5251	9.3769	5.6804	7.8911	7.9307
DENND1C	9.5536	9.7591	9.8073	8.4654	7.6233	8.2176	9.5793	11.2555	10.6083
PSMC5	5.0489	4.9231	5.1613	4.989	4.6079	4.7807	8.8505	9.4462	9.7872
WIPF2	9.2898	9.6116	9.9166	9.3991	8.7218	9.6736	6.0254	6.2688	6.5103
STK38L	9.493	9.573	9.8262	10.0926	9.493	10.2855	7.9612	7.015	7.8338
C11orf92	7.7547	7.7427	8.4343	7.9397	7.4207	8.6819	5.7207	5.7072	5.4636
GSX1	6.1999	5.8314	8.7384	7.2439	6.3064	8.2864	5.6255	5.4617	5.0991
GUSBL2	8.5248	8.6773	9.1455	7.584	7.1904	7.5151	9.8325	10.1477	10.4252
PDZD4	8.8665	9.2477	10.0193	9.7679	9.1593	9.8618	6.2818	5.8217	6.0129
MPZ	8.421	8.4451	8.3173	8.2938	7.9134	8.9845	5.0542	7.8742	7.8273
RXRA	8.7614	9.3636	9.084	8.583	8.4698	9.0345	11.7426	10.3599	10.994
GTF3C5	8.7614	9.3636	9.084	8.583	8.4698	9.0345	11.7426	10.3599	10.994
CREG2	8.7614	9.3636	9.084	8.583	8.4698	9.0345	11.7426	10.3599	10.994
C12orf26	8.7614	9.3636	9.084	8.583	8.4698	9.0345	11.7426	10.3599	10.994
RNF122	6.3814	5.6634	6.4045	6.3535	7.0188	6.0991	9.8769	6.7716	6.2649
CREB3L3	9.0798	9.4153	9.7508	9.4652	8.7174	9.7279	6.9811	7.6357	7.1883
HNRNPH1	5.1623	4.8666	4.7841	5.7614	5.726	5.6549	7.3507	10.2337	10.2944
LOC90834	8.2183	8.4487	8.7902	9.4842	9.36	9.5616	6.3913	6.2326	6.1641
DCPS	7.7531	8.0086	7.9512	7.5446	7.9516	7.326	10.5794	9.1618	9.5377
NPC1L1	6.9603	7.1408	7.5026	6.6614	6.6753	6.7587	9.7869	11.318	10.108
LOC100144602	6.5237	6.4402	7.0228	6.7574	6.2051	6.6033	8.6859	10.9378	9.2041
CCDC146	7.0298	7.3757	8.0578	10.0573	9.9932	10.6692	6.6148	6.1311	6.6353
RPS10P5	8.2679	9.147	9.2086	9.6483	8.3511	10.8539	12.2821	8.5554	10.3579
C18orf62	3.7308	5.189	5.1291	6.1526	4.4191	7.5586	7.3705	4.4743	5.2296
FAM3A	9.7507	10.0621	10.3977	9.5391	8.9078	9.9294	7.4542	8.5821	6.9458
DGUOK	9.6182	9.8859	10.4218	9.7882	9.3136	10.0868	7.1532	8.443	6.9926
